"Estado","Variável","Mês","Sexo","Valor","Região","População"
"Acre","Estupro",2023-08-01,"Não informado",3,"Norte",NA
"Acre","Estupro",2023-08-01,"Total",67,"Norte",830018
"Acre","Estupro",2023-09-01,"Feminino",41,"Norte",415332
"Acre","Estupro",2023-09-01,"Masculino",7,"Norte",414686
"Acre","Estupro",2023-09-01,"Não informado",3,"Norte",NA
"Acre","Estupro",2023-09-01,"Total",51,"Norte",830018
"Acre","Estupro",2023-10-01,"Feminino",39,"Norte",415332
"Acre","Estupro",2023-10-01,"Masculino",4,"Norte",414686
"Acre","Estupro",2023-10-01,"Não informado",3,"Norte",NA
"Acre","Estupro",2023-10-01,"Total",46,"Norte",830018
"Acre","Estupro",2023-11-01,"Feminino",50,"Norte",415332
"Acre","Estupro",2023-11-01,"Masculino",6,"Norte",414686
"Acre","Estupro",2023-11-01,"Não informado",2,"Norte",NA
"Acre","Estupro",2023-11-01,"Total",58,"Norte",830018
"Acre","Estupro",2023-12-01,"Feminino",42,"Norte",415332
"Acre","Estupro",2023-12-01,"Masculino",6,"Norte",414686
"Acre","Estupro",2023-12-01,"Não informado",1,"Norte",NA
"Acre","Estupro",2023-12-01,"Total",49,"Norte",830018
"Acre","Estupro",2024-01-01,"Feminino",45,"Norte",415332
"Acre","Estupro",2024-01-01,"Masculino",8,"Norte",414686
"Acre","Estupro",2024-01-01,"Não informado",1,"Norte",NA
"Acre","Estupro",2024-01-01,"Total",54,"Norte",830018
"Acre","Estupro",2024-02-01,"Feminino",39,"Norte",415332
"Acre","Estupro",2024-02-01,"Masculino",2,"Norte",414686
"Acre","Estupro",2024-02-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2024-02-01,"Total",41,"Norte",830018
"Acre","Estupro",2024-03-01,"Feminino",24,"Norte",415332
"Acre","Estupro",2024-03-01,"Masculino",4,"Norte",414686
"Acre","Estupro",2024-03-01,"Não informado",1,"Norte",NA
"Acre","Estupro",2024-03-01,"Total",29,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2019-01-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2019-01-01,"Masculino",4,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2019-01-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2019-01-01,"Total",4,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2019-02-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2019-02-01,"Masculino",4,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2019-02-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2019-02-01,"Total",4,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2019-03-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2019-03-01,"Masculino",3,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2019-03-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2019-03-01,"Total",3,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2019-04-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2019-04-01,"Masculino",1,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2019-04-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2019-04-01,"Total",1,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2019-05-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2019-05-01,"Masculino",0,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2019-05-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2019-05-01,"Total",0,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2019-06-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2019-06-01,"Masculino",0,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2019-06-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2019-06-01,"Total",0,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2019-07-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2019-07-01,"Masculino",3,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2019-07-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2019-07-01,"Total",3,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2019-08-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2019-08-01,"Masculino",3,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2019-08-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2019-08-01,"Total",3,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2019-09-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2019-09-01,"Masculino",0,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2019-09-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2019-09-01,"Total",0,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2019-10-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2019-10-01,"Masculino",2,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2019-10-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2019-10-01,"Total",2,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2019-11-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2019-11-01,"Masculino",3,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2019-11-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2019-11-01,"Total",3,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2019-12-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2019-12-01,"Masculino",0,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2019-12-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2019-12-01,"Total",0,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2020-01-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2020-01-01,"Masculino",4,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2020-01-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2020-01-01,"Total",4,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2020-02-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2020-02-01,"Masculino",3,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2020-02-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2020-02-01,"Total",3,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2020-03-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2020-03-01,"Masculino",6,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2020-03-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2020-03-01,"Total",6,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2020-04-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2020-04-01,"Masculino",2,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2020-04-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2020-04-01,"Total",2,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2020-05-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2020-05-01,"Masculino",1,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2020-05-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2020-05-01,"Total",1,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2020-06-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2020-06-01,"Masculino",0,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2020-06-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2020-06-01,"Total",0,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2020-07-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2020-07-01,"Masculino",0,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2020-07-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2020-07-01,"Total",0,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2020-08-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2020-08-01,"Masculino",3,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2020-08-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2020-08-01,"Total",3,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2020-09-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2020-09-01,"Masculino",2,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2020-09-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2020-09-01,"Total",2,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2020-10-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2020-10-01,"Masculino",4,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2020-10-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2020-10-01,"Total",4,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2020-11-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2020-11-01,"Masculino",0,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2020-11-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2020-11-01,"Total",0,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2020-12-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2020-12-01,"Masculino",2,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2020-12-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2020-12-01,"Total",2,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2021-01-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2021-01-01,"Masculino",2,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2021-01-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2021-01-01,"Total",2,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2021-02-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2021-02-01,"Masculino",0,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2021-02-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2021-02-01,"Total",0,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2021-03-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2021-03-01,"Masculino",0,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2021-03-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2021-03-01,"Total",0,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2021-04-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2021-04-01,"Masculino",0,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2021-04-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2021-04-01,"Total",0,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2021-05-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2021-05-01,"Masculino",0,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2021-05-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2021-05-01,"Total",0,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2021-06-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2021-06-01,"Masculino",1,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2021-06-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2021-06-01,"Total",1,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2021-07-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2021-07-01,"Masculino",0,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2021-07-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2021-07-01,"Total",0,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2021-08-01,"Feminino",0,"Norte",415332
"Acre","Morte por intervenção de Agente do Estado",2021-08-01,"Masculino",1,"Norte",414686
"Acre","Morte por intervenção de Agente do Estado",2021-08-01,"Não informado",0,"Norte",NA
"Acre","Morte por intervenção de Agente do Estado",2021-08-01,"Total",1,"Norte",830018
"Acre","Morte por intervenção de Agente do Estado",2021-09-01,"Feminino",0,"Norte",415332
